"","Ctenophthalmus.assimilis","Neopsylla.mana","Megabothris.rectangulatus","Citellophilus.tesquorum","Amphipsylla.rossica","Hystrichopsylla.talpae","Nosopsyllus.consimilis","Pectinoctenus.nemorosa","Frontopsylla.elata","Frontopsylla.protera","Amalaraeus.penicilliger","Neopsylla.teratura","Palaeopsylla.soricis","Frontopsylla.elatoides","Ceratophyllus.sciurorum","Ctenophthalmus.arvalis","Amphipsylla.sibirica","Frontopsylla.ornata","Oropsylla.silantiewi","Amphipsylla.primaris","Corrodopsylla.birulai","Rhadinopsylla.angusta"
"Microtus arvalis",1596,295,207,0,210,105,165,12,173,36,41,24,12,10,0,10,0,5,0,0,0,0
"Clethrionomys centralis",303,76,184,0,119,206,43,22,32,54,22,11,0,2,0,0,11,3,0,0,0,0
"Spermophilus undulatus",0,92,0,403,0,0,46,0,0,2,2,17,0,12,0,0,0,0,0,0,0,0
"Apodemus uralensis",25,11,8,0,5,8,31,158,14,20,5,3,0,0,0,3,0,0,0,0,0,0
"Apodemus agrarius",12,3,3,0,0,5,7,74,8,11,5,0,0,0,0,0,0,0,0,0,0,0
"Sorex araneus",6,2,0,0,0,0,0,0,0,11,0,0,30,0,0,0,0,0,0,0,2,0
"Sicista tianshanica",8,3,4,0,0,3,3,2,6,9,8,0,0,0,0,0,0,0,0,0,0,0
"Dryomys nitedula",6,0,3,0,3,0,6,0,0,2,0,0,0,0,23,0,0,0,0,2,0,0
"Arvicola terrestris",15,2,4,0,2,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neomys fodiens",11,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,2
"Cricetulus migratorius",0,4,0,0,0,2,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Cricetus cricetus",3,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marmota baibacina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"Spermophilus erythrogenys",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
