"","Palaeopsylla.soricis","Ctenophthalmus.assimilis","Amphipsylla.rossica","Ctenophthalmus.agyrtes","Doratopsylla.dasycnema","Megabothris.turbidus","Ctenophthalmus.uncinatus","Hystrichopsylla.talpae","Amalaraeus.penicilliger","Megabothris.rectangulatus","Ctenophthalmus.bisoctodentatus","Amphipsylla.vinogradovi","Paradoxopsyllus.scorodumovi","Leptopsylla.segnis","Peromyscopsylla.bidentata","Peromyscopsylla.silvatica","Nosopsyllus.fasciatus","Rhadinopsylla.integella"
"Microtus arvalis",224,1151,839,146,13,205,59,59,45,34,3,3,2,5,4,2,0,0
"Sorex araneus",1432,105,43,35,211,34,18,100,3,6,0,3,2,5,0,0,0,0
"Neomys fodiens",1413,92,4,8,182,32,6,14,0,0,2,3,2,0,0,0,0,0
"Clethrionomys glareolus",54,128,33,95,9,25,109,23,69,43,1,3,2,3,5,9,0,2
"Talpa europaea",69,85,13,86,13,3,28,15,0,0,52,3,2,0,0,0,0,0
"Microtus agrestis",23,72,13,65,3,72,36,26,15,18,1,3,2,3,2,0,0,0
"Arvicola terrestris",16,88,9,84,0,58,0,4,4,0,1,3,2,0,0,0,0,0
"Sorex minutus",54,10,7,0,4,2,0,2,0,0,0,3,2,0,0,0,0,0
"Apodemus uralensis",6,15,0,16,0,3,7,2,0,10,0,3,2,0,0,0,0,0
"Apodemus agrarius",3,29,10,9,0,0,0,4,0,0,0,3,2,0,0,0,2,0
"Sicista betulina",8,7,0,7,0,0,2,0,0,0,0,3,2,0,0,0,0,0
"Sorex minutissimus",7,0,0,0,2,0,2,2,0,0,0,3,2,0,0,0,0,0
"Apodemus flavicollis",0,0,0,0,0,0,0,0,0,8,0,3,2,0,0,0,0,0
"Micromys minutus",0,2,0,0,0,2,0,2,0,0,0,3,2,0,0,0,0,0
"Crocidura suaveolens",2,2,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
