"","Ctenophthalmus.assimilis","Megabothris.walkeri","Palaeopsylla.soricis","Amalaraeus.penicilliger","Corrodopsylla.birulai","Megabothris.rectangulatus","Megabothris.turbidus","Hystrichopsylla.talpae","Ctenophthalmus.arvalis","Amphipsylla.sibirica","Ctenophthalmus.dilatatus","Ceratophyllus.indages","Pectinoctenus.pavlovskii","Frontopsylla.elata","Citellophilus.tesquorum","Leptopsylla.sicistae","Peromyscopsylla.silvatica","Megabothris.calcarifer","Neopsylla.pleskei","Amphipsylla.kuznetzovi","Peromyscopsylla.bidentata","Neopsylla.acanthina","Neopsylla.mana","Ctenophthalmus.pisticus","Tarsopsylla.octodecimdentata","Amphipsylla.vinogradovi","Oropsylla.ilovaiskii","Ctenophthalmus.uncinatus","Amphipsylla.prima","Catallagia.dacenkoi","Rhadinopsylla.integella"
"Arvicola terrestris",395,756,3,136,22,4,93,3,11,97,0,0,10,0,0,0,0,0,4,3,4,2,3,0,0,0,0,0,2,0,0
"Sorex araneus",60,7,371,25,105,11,11,11,4,4,0,0,0,7,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
"Clethrionomys rutilus",107,12,58,96,15,73,9,34,2,4,0,3,0,11,5,0,42,2,0,5,0,0,0,0,0,0,0,0,0,2,0
"Microtus gregalis",205,28,8,16,5,21,12,19,0,0,0,0,0,22,0,0,3,10,12,11,0,0,0,0,0,0,0,0,0,0,0
"Lagurus lagurus",8,0,0,0,0,0,0,0,105,0,0,0,38,0,34,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Apodemus agrarius",83,12,0,12,13,9,11,12,0,5,0,0,0,6,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0
"Neomys fodiens",19,4,47,0,58,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Sicista betulina",11,0,6,7,2,4,13,25,0,0,0,0,0,7,0,50,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Microtus agrestis",31,15,0,7,8,15,0,12,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0
"Talpa europaea",74,0,18,7,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myospalax aspalax",0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Spermophilus erythrogenys",0,0,0,0,0,0,0,0,6,0,0,69,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"Microtus oeconomus",14,15,0,3,4,3,0,5,0,0,0,0,0,2,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phodopus campbelli",4,0,0,0,0,0,0,0,0,0,0,0,26,4,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"Tamias sibiricus",4,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,13,0,11,0,0,0,0,0,0,0
"Clethrionomys glareolus",14,7,0,9,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Cricetus cricetus",5,2,4,11,0,0,0,2,0,4,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0
"Microtus arvalis",19,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0
"Myopus schisticolor",0,0,0,6,0,15,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cricetulus barabensis",0,0,2,0,2,0,0,7,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Clethrionomys rufocanus",0,2,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micromys minutus",3,0,3,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Sicista subtilis",2,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pteromys volans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"Sciurus vulgaris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
