"","Peromyscopsylla.silvatica","Corrodopsylla.birulai","Megabothris.rectangulatus","Doratopsylla.dasycnema","Palaeopsylla.soricis","Ctenophthalmus.uncinatus","Amalaraeus.penicilliger","Hystrichopsylla.talpae","Rhadinopsylla.li","Ceratophyllus.indages","Megabothris.walkeri","Ctenophthalmus.assimilis","Tarsopsylla.octodecimdentata","Neopsylla.pleskei","Frontopsylla.elata","Amphipsylla.sibirica","Neopsylla.acanthina","Nosopsyllus.fasciatus","Leptopsylla.segnis","Catallagia.dacenkoi","Megabothris.calcarifer","Megabothris.turbidus","Catallagia.ioffi","Ctenophthalmus.pisticus","Neopsylla.mana","Rhadinopsylla.integella"
"Clethrionomys rutilus",574,40,176,20,15,55,91,55,7,0,0,3,0,0,0,0,0,0,2,4,0,0,3,0,0,2
"Sorex araneus",104,285,43,319,190,26,17,43,7,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Clethrionomys glareolus",262,40,94,114,33,80,87,33,7,0,3,5,0,3,4,4,2,0,0,0,2,2,0,0,0,0
"Microtus arvalis",110,10,87,8,33,51,23,46,7,0,10,2,0,0,0,2,5,0,0,2,0,0,0,0,0,0
"Microtus agrestis",124,17,60,50,8,23,13,30,7,0,8,2,0,0,2,2,0,0,0,0,0,2,0,0,0,0
"Sorex caecutiens",26,79,22,56,71,15,7,15,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Clethrionomys rufocanus",124,0,9,4,3,10,12,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microtus oeconomus",18,3,38,0,11,18,19,13,7,0,3,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0
"Apodemus agrarius",10,5,8,3,15,14,0,15,7,0,0,7,0,8,7,0,3,10,3,0,0,0,0,0,0,0
"Neomys fodiens",5,50,0,0,26,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sorex isodon",2,0,3,14,57,0,2,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sorex roboratus",0,62,0,0,4,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micromys minutus",0,25,13,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Tamias sibiricus",2,0,0,0,0,0,0,0,7,40,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Arvicola terrestris",5,0,13,0,0,5,5,2,7,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Sorex arcticus",0,16,2,0,14,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Sorex minutus",0,15,9,0,6,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apodemus peninsulae",2,3,7,0,9,3,0,2,7,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
"Sorex minutissimus",14,0,11,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sciurus vulgaris",0,0,0,0,0,0,0,0,7,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sicista betulina",4,0,0,0,3,2,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myopus schisticolor",0,0,3,0,2,0,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sorex daphaenodon",0,9,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Talpa altaica",0,4,0,0,0,2,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cricetus cricetus",0,0,0,0,0,3,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apodemus uralensis",0,0,2,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Talpa europaea",0,0,0,0,0,2,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
