"","Ctenophthalmus.wagneri","Nosopsyllus.consimilis","Megabothris.turbidus","Amphipsylla.rossica","Nosopsyllus.mokrzeckyi","Leptopsylla.taschenbergi","Amalaraeus.penicilliger","Peromyscopsylla.bidentata","Ctenophthalmus.breviatus","Palaeopsylla.soricis","Corrodopsylla.birulai","Megabothris.walkeri","Leptopsylla.segnis","Hystrichopsylla.talpae"
"Clethrionomys glareolus",1748,337,811,144,7,7,43,0,13,3,3,23,8,2
"Apodemus uralensis",1408,893,414,41,120,96,25,33,29,17,0,7,17,5
"Microtus arvalis",494,193,97,177,8,0,11,44,12,2,0,3,6,12
"Sorex araneus",237,6,20,4,0,0,3,0,2,25,36,2,0,6
"Crocidura suaveolens",39,21,0,0,0,0,0,2,0,0,1,0,0,0
"Arvicola terrestris",19,0,3,3,0,0,2,0,10,0,0,3,0,0
"Cricetus cricetus",16,5,0,0,0,0,0,0,0,0,0,0,0,0
"Microtus oeconomus",14,0,3,2,0,0,0,0,0,0,0,2,0,0
"Allocricetulus eversmanni",4,5,0,0,0,0,0,0,0,0,0,0,0,0
"Micromys minutus",4,3,0,0,0,0,0,0,0,0,0,0,0,0
"Lagurus lagurus",2,2,0,0,0,0,0,0,0,0,0,0,0,0
"Sicista subtilis",0,0,2,0,0,0,0,0,0,0,0,0,0,0
