"","Cyanistes_caeruleus","Fringilla_coelebs","Parus_major","Poecile_spp","Columba_palumbus","Pyrrhula_pyrrhula","Turdus_iliacus","Turdus_merula","Turdus_philomelos","Turdus_pilaris","Erithacus_rubecula","Sylvia_atricapilla","Sitta_europaea"
"Bryonia_dioica",1,2,2,36,0,0,0,0,0,0,0,0,0
"Crataegus_monogyna",0,0,0,0,20,2,3242,764,15,1482,0,0,0
"Euonymus_europaeus",0,0,0,0,0,0,0,6,0,0,0,0,0
"Hedera_helix",0,0,0,0,0,24,0,163,15,0,2,1,0
"Lonicera_periclymenum",3,0,0,17,0,2,0,0,0,0,0,0,0
"Prunus_spinosa",0,0,0,0,0,0,209,138,0,303,0,0,0
"Rosa_canina",0,0,0,0,0,9,0,52,0,0,0,0,0
"Rubus_fruticosus",17,0,0,16,0,0,0,20,1,0,0,0,0
"Sambucus_nigra",175,10,95,147,35,1,28,301,19,0,4,4,2
"Solanum_dulcamara",0,0,0,1,0,0,0,0,0,0,0,1,1
